All,appliances,All 4000
1840.326,1840.326,1350.6979816514
366.719,366.719,269.151559633
345.506,345.506,253.5823853211
407.902,407.902,299.3776146789
319.872,319.872,234.768440367
233.246,233.246,171.1897247706
588.8132309088,565.119,432.1564997496
521.749,521.749,382.9350458716
85.508,85.508,62.7581651376
1897.4256666667,153.259,1392.6059938838
100.435,100.435,73.7137614679
1836.166,1836.166,1347.6447706422
3623.096,3623.096,2659.1530275229
4308.359,4308.359,3162.0983486239
3547.686,3547.686,2603.8062385321
3481.982,3481.982,2555.5831192661
3521.072,3521.072,2584.2730275229
1422.9813805516,1401.036,1044.3900040746
3739.2326666667,1995.066,2744.3909480122
298.649,298.649,219.1919266055
241.986,241.986,177.6044036697
71.986,71.986,52.8337614679
20.319,20.319,14.9130275229
20.319,20.319,14.9130275229
338.649,338.649,248.5497247706
265.316,265.316,194.7273394495
56.986,56.986,41.824587156
143.7772850978,130.319,105.5246129158
1764.4856666667,20.319,1295.035351682
1764.4856666667,20.319,1295.035351682
1934.4826666667,190.316,1419.8037920489
665.8193333333,316.986,488.6747400612
369.1523333333,20.319,270.9374923547
163.652,163.652,120.111559633
141.985,141.985,104.2091743119
241.986,241.986,177.6044036697
175.319,175.319,128.6744954128
53.652,53.652,39.3776146789
156.075,156.075,114.5504587156
504.256,504.256,370.096146789
238.499,238.499,175.0451376147
267.536,267.536,196.3566972477
138.653,138.653,101.7636697248
20.319,20.319,14.9130275229
285.319,285.319,209.408440367
175.319,175.319,128.6744954128
295.723,295.723,217.0444036697
134.253,134.253,98.5343119266
70.92,70.92,52.0513761468
30.9435084678,20.319,22.7108319029
266.982,266.982,195.9500917431
328.659,328.659,241.2176146789
121.986,121.986,89.5310091743
179.076,179.076,131.4319266055
323.249,323.249,237.2469724771
373.249,373.249,273.9442201835
269.912,269.912,198.1005504587
351.579,351.579,258.0396330275
333.242,333.242,244.5812844037
264.496,264.496,194.1255045872
210.319,210.319,154.3625688073
260.316,260.316,191.0576146789
1764.4856666667,20.319,1295.035351682
71.986,71.986,52.8337614679
375.319,375.319,275.4634862385
75.8364,75.8364,55.6597431193
24.1694,24.1694,17.7390091743
195.97,195.97,143.8311926606
315.152,315.152,231.3042201835
293.169,293.169,215.1699082569
123.799,123.799,90.8616513761
278.799,278.799,204.6231192661
2037.9626666667,293.796,1495.7524159022
233.799,233.799,171.5955963303
286.7014591094,263.799,210.4230892546
123.799,123.799,90.8616513761
161.729,161.729,118.7001834862
563.906,563.906,413.8759633028
436.559,436.559,320.4102752294
